world,phase,pair_codes,pair_sequence,quest_id,sequence,view,bg_override,task_heb,option_a_code,option_a_asset,option_a_tooltip_heb,option_a_view,next_view_a,next_bg_override_a,placement_mode_a,anchor_ref_a,offset_y_a,offset_x_a,scale_a,persist_a,option_b_code,option_b_asset,option_b_tooltip_heb,option_b_view,next_view_b,next_bg_override_b,placement_mode_b,anchor_ref_b,offset_y_b,offset_x_b,scale_b,persist_b
studio,tb,ir,1,studio_tie_01,1,in,studio_in_workshop_bg,"""בום! המכונה המרכזית הושבתה בדיוק בשיא הלחץ. מה עושים עכשיו?""",r,studio_tie_01_a,ארגז כלי עבודה ,in,in,studio_in_workshop_bg,floor_near_wall,wall_right,0,0,0.9,temp,i,studio_tie_01_b,טאבלט דיגיטלי לאבחון נתונים ,in,in,studio_in_workshop_bg,table,table_center,0,0,0.9,temp
studio,tb,ar,1,studio_tie_02,2,in,studio_in_workshop_bg,"""פרויקט חדש יוצא לדרך! מה הדבר הראשון שנביא לסטודיו כדי להתחיל?""",r,studio_tie_02_a,ערימת קרשים ,in,in,studio_in_workshop_bg,floor_near_wall,wall_right,0,0,1,temp,a,studio_tie_02_b,קיר השראה/Moodboard),in,in,studio_in_workshop_bg,wall,wall_right,0,0,1,temp
studio,tb,rs,1,studio_tie_03,3,in,studio_entry_inside_bg,"""אנחנו רוצים שמי שנכנס לסטודיו ירגיש מיד את האנרגיה שלנו. מה יהיה בלב המקום?""",r,studio_tie_03_a,שולחן עבודה מרכזי,in,in,studio_in_gallery_bg,floor_near_wall,wall_right,0,0,1,keep,s,studio_tie_03_b,קיר 'הסיפור שלנו',in,in,studio_in_gallery_bg,wall,wall_right,0,0,1,keep
studio,tb,er,1,studio_tie_04,4,in,studio_entry_inside_bg,"""הסטודיו מתרחב! מה הצעד המקצועי הבא שהכי חשוב לנו להוסיף עכשיו?""",r,studio_tie_04_a,מכונת CNC תעשייתית,in,in,studio_in_workshop_bg,floor_near_wall,wall_right,0,0,1,keep,e,studio_tie_04_b,חלל פרזנטציה יוקרתי ,in,in,studio_entry_inside_bg,floor_near_wall,wall_back,0,0,1,keep
studio,tb,cr,1,studio_tie_05,5,in,studio_in_workshop_bg,"""היום טס והמשימות נערמות. אני מרגיש קצת אבוד איך נחזיר את השליטה בסטודיו?""",r,studio_tie_05_a,לוח משימות שטח ,in,in,studio_in_workshop_bg,wall,wall_right,0,0,1,keep,c,studio_tie_05_b,"עמדת ניהול פרוייקטים, זמנים ותקציב ",in,in,studio_in_workshop_bg,floor_near_wall,wall_right,0,0,1,keep
studio,tb,ai,1,studio_tie_06,6,in,studio_in_workshop_bg,"""קיבלנו בקשה לעיצוב פסיכי שעוד לא נעשה. עם מה נתחיל?""",i,studio_tie_06_a,עמדת מיקרוסקופ ,in,in,studio_in_workshop_bg,floor_near_wall,wall_right,0,0,1,keep,a,studio_tie_06_b,פינת צבע וניסוי ,in,in,studio_in_workshop_bg,floor_near_wall,wall_right,0,0,1,keep
studio,tb,is,1,studio_tie_07,7,in,studio_in_workshop_bg,"""צברנו מלא ידע בפרויקט האחרון. איך נשמור אותו לדורות הבאים?""",i,studio_tie_07_a,ארון שרתים לשמירה על הדאטה והידע הדיגיטלי.,in,in,studio_in_storage_bg,floor_near_wall,wall_right,0,0,1,keep,s,studio_tie_07_b,לוח טיפים שיתופי לשיתוף ידע ,in,in,studio_in_storage_bg,wall,wall_right,0,0,1,keep
studio,tb,ei,1,studio_tie_08,8,in,studio_in_workshop_bg,"""ההמצאה שלנו מוכנה לפריצה לעולם! איך נכריז עליה?""",i,studio_tie_08_a,אב-טיפוס בתיבת זכוכית,in,in,studio_entry_inside_bg,center,floor,-40,0,0.9,keep,e,studio_tie_08_b,פודיום למסיבת עיתונאים ,out,out,studio_front_bg,floor_near_wall,wall_right,-40,0,0.9,keep
studio,tb,ci,1,studio_tie_09,9,in,studio_in_workshop_bg,"""רגע לפני שהכל נשלח, איך נוודא שהעבודה יצאה מושלמת?""",i,studio_tie_09_a,סורק ידני לבדיקת איכות,in,in,studio_in_storage_bg,handheld,avatar_hand,-40,0,0.9,keep,c,studio_tie_09_b,אזור אריזה ,in,in,studio_in_storage_bg,floor_near_wall,wall_right,-40,0,0.9,keep
studio,tb,as,1,studio_tie_10,10,in,studio_in_gallery_bg,"""ערב הגאלה המקצועי שלנו כאן! מה יהיה ה-Wow של האירוע?""",a,studio_tie_10_a,מיצב תאורה אמנותי ,in,in,studio_entry_inside_bg,floor_near_wall,wall_left,-40,0,0.9,keep,s,studio_tie_10_b,שולחנות בר  מרחב לנטוורקינג,in,in,studio_entry_inside_bg,center,center,-40,0,0.9,keep
studio,tb,ae,1,studio_tie_11,11,in,studio_in_gallery_bg,"""לקוח רציני בפתח. איך נראה לו מי אנחנו באמת?""",a,studio_tie_11_a,ציור קיר מלא,in,in,studio_in_gallery_bg,wall_full,wall_back,0,0,1,keep,e,studio_tie_11_b,קיר 'ההצלחות שלנו' ,in,in,studio_in_gallery_bg,wall,wall_right,0,0,1,keep
