world,quest_id,order,view,bg_override,zone_id,task_heb,option_a_code,option_a_asset,option_a_tooltip_heb,option_a_view,next_view_a,next_bg_override_a,placement_mode_a,anchor_ref_a,offset_y_a,offset_x_a,scale_a,persist_a,option_b_code,option_b_asset,option_b_tooltip_heb,option_b_view,next_view_b,next_bg_override_b,placement_mode_b,anchor_ref_b,offset_y_b,offset_x_b,scale_b,persist_b
studio,studio_01,1,in,studio_entry_inside_bg,," המקום ענקי ויש לנו המון עבודה, אז עם מה נתחיל?",r,studio_01_a,דליי צבע ומברשות,in,in,studio_entry_inside_bg,floor_near_wall,wall_right,0,0,0.9,temp,i,studio_01_b,ערכת שרטוט,in,in,studio_in_gallery_bg,handheld,avatar_hand,0,0,0.6,temp
studio,studio_02,2,in,studio_entry_inside_bg,,הבסיס מאחורינו. מה הדרך הכי טובה לקבוע איפה כל דבר יעמוד פה?,i,studio_02_a,סורק לייזר טכנולוגי,in,in,studio_entry_inside_bg,center,floor,0,0,1.0,temp,c,studio_02_b,לוח ניהול פרויקטים,in,in,studio_in_gallery_bg,wall,wall_back,0,0,1.0,temp
studio,studio_03,3,in,studio_entry_inside_bg,,בלאגן אטומי פה. חייבים לארגן את המקום כדי שנתחיל ליצור. איך נעצב את הלב של הסטודיו?,s,studio_03_a,שולחן יצירה קבוצתי,in,in,studio_in_workshop_bg,center,floor,0,0,1.0,keep,r,studio_03_b,עמדת סאונד עם אוזניות,in,in,studio_in_workshop_bg,floor_near_wall,wall_left,-40,0,0.9,keep
studio,studio_04,4,in,studio_entry_inside_bg,,"וואו, אנחנו תלויים רק באור מבחוץ ועוד מעט מחשיך. מה נעשה?",r,studio_04_a,גופי תאורה תעשייתיים,in,in,studio_entry_inside_bg,ceiling,ceiling,0,0,1.0,keep,a,studio_04_b,פסלי תאורה מעוצבים,in,in,studio_entry_inside_bg,center,floor,0,0,1.0,keep
studio,studio_05,5,front,studio_front_bg,,"הסטודיו מתחיל לקבל צורה, אבל אף אחד לא יודע שאנחנו קיימים. איך נראה להם?",e,studio_05_a,שלט ניאון ממותג,front,front,studio_front_bg,wall,wall_right,0,0,1.0,keep,s,studio_05_b,עמדת קפה ואירוח בחוץ,front,front,studio_front_bg,floor_near_wall,wall_left,-40,0,0.9,keep
studio,studio_06,6,in,studio_in_gallery_bg,,התקרה פה ממש גבוהה ויש הד מטורף שקשה לי להתרכז. איך מטפלים בזה?,a,studio_06_a,פאנלים אקוסטיים גיאומטריים,in,in,studio_in_workshop_bg,wall_full,wall_right,0,0,1.0,keep,s,studio_06_b,פינת לאונג' וספות,in,in,studio_in_workshop_bg,floor_near_wall,wall_right,-40,0,0.9,keep
studio,studio_07,7,in,studio_entry_inside_bg,,"אוקיי, הסטודיו מפוצץ בעבודות גמורות וזה מתחיל להיערם בכל פינה. מה עושים?",c,studio_07_a,חדר ארכיון ואחסון,in,in,studio_in_storage_bg,wall_full,wall_back,0,0,1.0,keep,e,studio_07_b,חלון ראווה ותצוגת מכירות,in,in,studio_in_gallery_bg,wall_full,wall_back,0,0,1.0,keep
studio,studio_08,8,in,studio_in_gallery_bg,,הסטודיו כבר מרגיש כמו הבית השני שלנו. איך נשמור על הוייב של הצוות?,s,studio_08_a,פינת זולה ושולחן סנוקר,in,in,studio_in_workshop_bg,floor_near_wall,wall_left,-40,0,0.9,keep,a,studio_08_b,קיר השראה ענקי,in,in,studio_in_workshop_bg,floor_near_wall,wall_left,-40,0,0.9,keep
studio,studio_09,9,in,studio_entry_inside_bg,,סיוט בסטודיו. הגג התחיל לנזול ישר על העבודות הכי יקרות שלנו. מה עושים?,c,studio_09_a,רשימת נזקים וארגון מחדש,in,in,studio_in_storage_bg,floor_near_wall,wall_right,-40,0,0.9,keep,i,studio_09_b,עמדת שיקום ורסטורציה,in,in,studio_in_storage_bg,floor_near_wall,wall_right,-40,0,0.9,keep
studio,studio_10,10,in,studio_entry_inside_bg,,יש המון התעניינות בסטודיו והביקוש לעבודות גדל בטירוף. איך נעמוד בקצב?,r,studio_10_a,מכונת חיתוך לייזר תעשייתית,in,in,studio_in_workshop_bg,floor_near_wall,wall_left,-40,0,0.9,keep,e,studio_10_b,מסך מחשב עם אתר אי-קומרס,in,in,studio_in_workshop_bg,floor_near_wall,wall_left,-40,0,0.9,keep
studio,studio_11,11,out,studio_front_bg,,"וואו, המהלך הזה הצליח לנו ובגדול, אנחנו יכולים להיות הדבר הבא. איך נעשה?",e,studio_11_a,פסטיבל רחוב,out,out,studio_front_bg,center,floor,0,0,1.0,keep,c,studio_11_b,תכנית פריסה לסניפים חדשים,in,in,studio_in_gallery_bg,center,floor,0,0,1.0,keep
studio,studio_12,12,in,studio_entry_inside_bg,,אנחנו השם הכי חם בעיר! מה המהלך הגדול שיעיף את הסטודיו לרמה הבאה?,i,studio_12_a,עמדת הדמיה הולוגרפית,in,in,studio_in_gallery_bg,center,floor,0,0,1.0,keep,a,studio_12_b,יצירת מופת במרכז החלל,in,in,studio_in_gallery_bg,center,floor,0,0,1.0,keep
